,congdist,geoid
1082,2,008-AAA
1083,2,008-AAA
1084,2,008-ACD
1085,2,008-ACD
1086,2,008-ACE
1087,2,008-ACE
1088,2,008-ACF
1089,2,008-ACF
1090,2,008-AAF
1091,2,008-AAF
1092,6,008-AAF
1093,6,008-AAF
1094,2,008-ACG
1095,2,008-ACG
1096,2,008-AAJ
1097,2,008-AAJ
1098,2,008-AAG
1099,2,008-AAG
1100,2,008-AAH
1101,2,008-AAH
1102,2,008-AAK
1103,2,008-AAK
1104,2,008-AAM
1105,2,008-AAM
1106,2,008-ACH
1107,2,008-ACH
1108,4,008-ACH
1109,4,008-ACH
1110,2,008-ACI
1111,2,008-ACI
1112,2,008-ACJ
1113,2,008-ACJ
1114,2,008-ACK
1115,2,008-ACK
1116,2,008-ACL
1117,2,008-ACL
1118,2,008-AAW
1119,2,008-AAW
1120,6,008-AAW
1121,6,008-AAW
1122,2,008-AAY
1123,2,008-AAY
1124,2,008-AAV
1125,2,008-AAV
1126,2,008-ACM
1127,2,008-ACM
1128,2,008-ACN
1129,2,008-ACN
1130,2,008-ACO
1131,2,008-ACO
1132,2,008-ACP
1133,2,008-ACP
1134,2,008-ABI
1135,2,008-ABI
1136,2,008-ACQ
1137,2,008-ACQ
1138,4,008-ACQ
1139,4,008-ACQ
1140,2,008-ACR
1141,2,008-ACR
1142,4,008-ACR
1143,4,008-ACR
1145,5,008-ACR
1146,2,008-ACS
1147,2,008-ACS
1148,2,008-ACT
1149,2,008-ACT
1150,2,008-ACU
1151,2,008-ACU
1152,2,008-ACV
1153,2,008-ACV
1154,2,008-ABP
1155,2,008-ABP
1156,2,008-ACW
1157,2,008-ACW
1158,6,008-ACW
1159,6,008-ACW
1160,4,008-ACW
1161,4,008-ACW
1163,5,008-ACW
1164,8,009-ABC
1165,8,009-ABC
1166,8,009-ABD
1167,8,009-ABD
1168,8,009-AAC
1169,8,009-AAC
1170,8,009-ALD
1171,8,009-ALD
1172,8,009-AAL
1173,8,009-AAL
1174,8,009-AAT
1175,8,009-AAT
1176,8,009-ALF
1177,8,009-ALF
1178,8,009-AAB
1179,8,009-AAB
1180,8,009-AAM
1181,8,009-AAM
1182,8,009-AAU
1183,8,009-AAU
1184,8,009-ABH
1185,8,009-ABH
1186,8,009-AAK
1187,8,009-AAK
1188,8,009-AAN
1189,8,009-AAN
1190,8,009-AAV
1191,8,009-AAV
1192,8,009-ABI
1193,8,009-ABI
1194,8,009-AAD
1195,8,009-AAD
1196,8,009-AAO
1197,8,009-AAO
1198,8,009-AAW
1199,8,009-AAW
1200,8,009-ABJ
1201,8,009-ABJ
1202,8,009-AAE
1203,8,009-AAE
1204,8,009-AAP
1205,8,009-AAP
1206,8,009-AAX
1207,8,009-AAX
1208,8,009-ABK
1209,8,009-ABK
1210,8,009-AAF
1211,8,009-AAF
1212,8,009-AAQ
1213,8,009-AAQ
1214,8,009-AAY
1215,8,009-AAY
1216,8,009-ABL
1217,8,009-ABL
1218,8,009-AAG
1219,8,009-AAG
1220,8,009-AAR
1221,8,009-AAR
1222,8,009-AAZ
1223,8,009-AAZ
1224,8,009-ABM
1225,8,009-ABM
1226,8,009-AAH
1227,8,009-AAH
1228,8,009-AAS
1229,8,009-AAS
1230,8,009-ABA
1231,8,009-ABA
1232,8,009-ABN
1233,8,009-ABN
1234,8,009-AAI
1235,8,009-AAI
1236,8,009-ALE
1237,8,009-ALE
1238,8,009-ABO
1239,8,009-ABO
1240,8,009-AFO
1241,8,009-AFO
1242,8,009-AFX
1243,8,009-AFX
1244,8,009-AFY
1245,8,009-AFY
1246,8,009-AFZ
1247,8,009-AFZ
1248,8,009-AGA
1249,8,009-AGA
1250,8,009-AKW
1251,8,009-AKW
1252,8,009-ALG
1253,8,009-ALG
1254,8,009-ALH
1255,8,009-ALH
1256,8,009-ALI
1257,8,009-ALI
1258,8,009-ALP
1259,8,009-ALP
1260,8,009-AME
1261,8,009-AME
1262,8,009-AFP
1263,8,009-AFP
1264,8,009-AFQ
1265,8,009-AFQ
1266,8,009-AFR
1267,8,009-AFR
1268,8,009-AFS
1269,8,009-AFS
1270,8,009-AFT
1271,8,009-AFT
1272,8,009-AFU
1273,8,009-AFU
1274,8,009-AFV
1275,8,009-AFV
1276,8,009-AFW
1277,8,009-AFW
1278,8,009-ABZ
1279,8,009-ABZ
1280,8,009-ACA
1281,8,009-ACA
1282,8,009-ACB
1283,8,009-ACB
1284,8,009-ACC
1285,8,009-ACC
1286,8,009-ACD
1287,8,009-ACD
1288,8,009-ACE
1289,8,009-ACE
1290,1,009-ACF
1291,1,009-ACF
1292,8,009-ACF
1293,8,009-ACF
1294,8,009-ACG
1295,8,009-ACG
1296,8,009-ACH
1297,8,009-ACH
1298,8,009-ACI
1299,8,009-ACI
1300,8,009-ABQ
1301,8,009-ABQ
1302,8,009-ACN
1303,8,009-ACN
1304,8,009-ACQ
1305,8,009-ACQ
1306,8,009-ACT
1307,8,009-ACT
1308,8,009-ACX
1309,8,009-ACX
1310,8,009-ADA
1311,8,009-ADA
1312,8,009-ACJ
1313,8,009-ACJ
1314,8,009-ACK
1315,8,009-ACK
1316,8,009-ACL
1317,8,009-ACL
1318,8,009-ACM
1319,8,009-ACM
1320,8,009-ALV
1321,8,009-ALV
1322,8,009-AMF
1323,8,009-AMF
1324,8,009-ABR
1325,8,009-ABR
1326,8,009-ACO
1327,8,009-ACO
1328,8,009-ACR
1329,8,009-ACR
1330,8,009-ACU
1331,8,009-ACU
1332,8,009-ACY
1333,8,009-ACY
1334,8,009-ADB
1335,8,009-ADB
1336,8,009-ABS
1337,8,009-ABS
1338,8,009-ACS
1339,8,009-ACS
1340,8,009-ACV
1341,8,009-ACV
1342,8,009-ACZ
1343,8,009-ACZ
1344,8,009-ADC
1345,8,009-ADC
1346,8,009-ABT
1347,8,009-ABT
1348,8,009-ADD
1349,8,009-ADD
1350,8,009-ABU
1351,8,009-ABU
1352,8,009-ADE
1353,8,009-ADE
1354,8,009-ABV
1355,8,009-ABV
1356,8,009-ADF
1357,8,009-ADF
1358,8,009-ABW
1359,8,009-ABW
1360,8,009-ADG
1361,8,009-ADG
1362,8,009-ABX
1363,8,009-ABX
1364,8,009-AKT
1365,8,009-AKT
1366,8,009-ABY
1367,8,009-ABY
1368,1,009-AGB
1369,1,009-AGB
1370,1,009-ALO
1371,1,009-ALO
1372,1,009-AGC
1373,1,009-AGC
1374,8,009-AGC
1375,1,009-AGD
1376,1,009-AGD
1377,1,009-AGE
1378,1,009-AGE
1379,1,009-AGF
1380,1,009-AGF
1381,1,009-AGG
1382,1,009-AGG
1383,1,009-AGH
1384,1,009-AGH
1385,8,009-AGH
1386,8,009-AGH
1387,1,009-ALM
1388,1,009-ALM
1389,1,009-ALN
1390,1,009-ALN
1391,8,009-ALN
1392,8,009-ALN
1393,8,009-AGJ
1394,8,009-AGJ
1395,8,009-AGK
1396,8,009-AGK
1397,8,009-AGL
