candname,cf_score,district_num,geoid,num_votes,party
"ANKRUM, TED",-1.326762057,10,4530160,332.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530160,195.0,200
"ANKRUM, TED",-1.326762057,10,4530211,610.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530211,379.0,200
"ANKRUM, TED",-1.326762057,10,4530216,278.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530216,150.0,200
"ANKRUM, TED",-1.326762057,10,4530262,849.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530262,839.0,200
"ANKRUM, TED",-1.326762057,10,4530139,434.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530139,217.0,200
"ANKRUM, TED",-1.326762057,10,4530224,484.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530224,426.0,200
"ANKRUM, TED",-1.326762057,10,4530278,909.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530278,519.0,200
"ANKRUM, TED",-1.326762057,10,4530237,,100
"MCCAUL, MICHAEL",1.078150772,10,4530237,,200
"ANKRUM, TED",-1.326762057,10,4530337,,100
"MCCAUL, MICHAEL",1.078150772,10,4530337,,200
"ANKRUM, TED",-1.326762057,10,4530242,1616.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530242,485.0,200
"ANKRUM, TED",-1.326762057,10,4530331,,100
"MCCAUL, MICHAEL",1.078150772,10,4530331,,200
"ANKRUM, TED",-1.326762057,10,4530235,778.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530235,132.0,200
"ANKRUM, TED",-1.326762057,10,4530377,,100
"MCCAUL, MICHAEL",1.078150772,10,4530377,,200
"ANKRUM, TED",-1.326762057,10,4530161,637.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530161,351.0,200
"ANKRUM, TED",-1.326762057,10,4530250,,100
"MCCAUL, MICHAEL",1.078150772,10,4530250,,200
"ANKRUM, TED",-1.326762057,10,4530228,763.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530228,655.0,200
"ANKRUM, TED",-1.326762057,10,4530217,338.0,100
"MCCAUL, MICHAEL",1.078150772,10,4530217,238.0,200
"ANKRUM, TED",-1.326762057,10,1490010,,100
"MCCAUL, MICHAEL",1.078150772,10,1490010,,200
"ANKRUM, TED",-1.326762057,10,1490011,,100
"MCCAUL, MICHAEL",1.078150772,10,1490011,,200
"ANKRUM, TED",-1.326762057,10,1490005,,100
"MCCAUL, MICHAEL",1.078150772,10,1490005,,200
"ANKRUM, TED",-1.326762057,10,1490007,,100
"MCCAUL, MICHAEL",1.078150772,10,1490007,,200
"ANKRUM, TED",-1.326762057,10,1490008,,100
"MCCAUL, MICHAEL",1.078150772,10,1490008,,200
"ANKRUM, TED",-1.326762057,10,4910426,321.0,100
"MCCAUL, MICHAEL",1.078150772,10,4910426,465.0,200
"ANKRUM, TED",-1.326762057,10,4910463,558.0,100
"MCCAUL, MICHAEL",1.078150772,10,4910463,557.0,200
"ANKRUM, TED",-1.326762057,10,4910433,150.0,100
"MCCAUL, MICHAEL",1.078150772,10,4910433,219.0,200
"ANKRUM, TED",-1.326762057,10,4910424,498.0,100
"MCCAUL, MICHAEL",1.078150772,10,4910424,1197.0,200
"ANKRUM, TED",-1.326762057,10,4910162,466.0,100
"MCCAUL, MICHAEL",1.078150772,10,4910162,440.0,200
"ANKRUM, TED",-1.326762057,10,4910275,170.0,100
"MCCAUL, MICHAEL",1.078150772,10,4910275,134.0,200
"ANKRUM, TED",-1.326762057,10,4910413,107.0,100
"MCCAUL, MICHAEL",1.078150772,10,4910413,155.0,200
"ANKRUM, TED",-1.326762057,10,4910434,188.0,100
"MCCAUL, MICHAEL",1.078150772,10,4910434,320.0,200
"ANKRUM, TED",-1.326762057,10,4910138,450.0,100
"MCCAUL, MICHAEL",1.078150772,10,4910138,791.0,200
"ANKRUM, TED",-1.326762057,10,150312,48.0,100
"MCCAUL, MICHAEL",1.078150772,10,150312,184.0,200
"ANKRUM, TED",-1.326762057,10,150205,203.0,100
"MCCAUL, MICHAEL",1.078150772,10,150205,501.0,200
"ANKRUM, TED",-1.326762057,10,150101,266.0,100
"MCCAUL, MICHAEL",1.078150772,10,150101,684.0,200
"ANKRUM, TED",-1.326762057,10,150319,146.0,100
"MCCAUL, MICHAEL",1.078150772,10,150319,425.0,200
"ANKRUM, TED",-1.326762057,10,150102,121.0,100
"MCCAUL, MICHAEL",1.078150772,10,150102,259.0,200
"ANKRUM, TED",-1.326762057,10,150416,136.0,100
"MCCAUL, MICHAEL",1.078150772,10,150416,239.0,200
"ANKRUM, TED",-1.326762057,10,150207,49.0,100
"MCCAUL, MICHAEL",1.078150772,10,150207,150.0,200
"ANKRUM, TED",-1.326762057,10,150211,44.0,100
"MCCAUL, MICHAEL",1.078150772,10,150211,106.0,200
"ANKRUM, TED",-1.326762057,10,150413,36.0,100
"MCCAUL, MICHAEL",1.078150772,10,150413,67.0,200
"ANKRUM, TED",-1.326762057,10,150104,57.0,100
"MCCAUL, MICHAEL",1.078150772,10,150104,202.0,200
"ANKRUM, TED",-1.326762057,10,150208,62.0,100
"MCCAUL, MICHAEL",1.078150772,10,150208,203.0,200
"ANKRUM, TED",-1.326762057,10,150417,97.0,100
"MCCAUL, MICHAEL",1.078150772,10,150417,134.0,200
"ANKRUM, TED",-1.326762057,10,150210,67.0,100
"MCCAUL, MICHAEL",1.078150772,10,150210,250.0,200
"ANKRUM, TED",-1.326762057,10,150209,75.0,100
"MCCAUL, MICHAEL",1.078150772,10,150209,213.0,200
"ANKRUM, TED",-1.326762057,10,150314,227.0,100
"MCCAUL, MICHAEL",1.078150772,10,150314,404.0,200
"ANKRUM, TED",-1.326762057,10,3390079,222.0,100
"MCCAUL, MICHAEL",1.078150772,10,3390079,568.0,200
"ANKRUM, TED",-1.326762057,10,3390003,269.0,100
"MCCAUL, MICHAEL",1.078150772,10,3390003,894.0,200
"ANKRUM, TED",-1.326762057,10,3390028,157.0,100
"MCCAUL, MICHAEL",1.078150772,10,3390028,681.0,200
"ANKRUM, TED",-1.326762057,10,3390018,176.0,100
"MCCAUL, MICHAEL",1.078150772,10,3390018,608.0,200
"ANKRUM, TED",-1.326762057,10,3390061,337.0,100
"MCCAUL, MICHAEL",1.078150772,10,3390061,1014.0,200
