,geoid,congdist
416,005-ABY,6
417,005-ABZ,6
418,005-ACA,6
419,005-ACB,18
420,005-ACC,18
421,005-ACD,18
422,005-ACE,18
423,005-ACF,18
424,005-ACG,18
425,005-ACH,18
426,005-ACI,6
427,005-ACJ,6
428,005-ACK,6
429,005-ACL,6
430,005-ACL,18
431,005-ACM,18
432,005-ACN,6
433,005-ACN,18
434,005-ACO,18
435,005-ACP,18
436,005-ACQ,18
437,006-AAA,4
438,006-AAB,4
439,006-AAC,4
440,006-AAD,4
441,006-AAE,4
442,006-AAF,4
443,006-AAG,4
444,006-AAH,4
445,006-AAI,4
446,006-AAJ,4
447,006-AAK,4
448,006-AAL,4
449,006-AAM,4
450,006-AAN,4
451,006-AAO,4
452,006-AAP,4
453,006-AAR,4
454,006-AAS,4
455,006-AAU,4
456,006-AAV,4
457,006-AAW,4
458,006-AAX,4
459,006-AAY,4
460,006-AAZ,4
461,006-ABA,4
462,006-ABB,4
463,006-ABC,4
464,006-ABD,4
465,006-ABF,4
466,006-ABG,4
467,006-ABH,4
468,006-ABJ,4
469,006-ABK,4
470,006-ABL,4
471,006-ABM,4
472,006-ABN,4
473,006-ABO,4
474,006-ABP,4
475,006-ABQ,4
476,006-ABR,4
477,007-AAA,6
478,007-AAB,6
479,007-AAE,6
480,007-AAF,6
481,007-AAH,6
482,007-AAJ,6
483,007-AAK,6
484,007-AAL,6
485,007-AAN,18
486,007-AAO,18
487,007-AAP,18
488,007-AAQ,18
489,007-AAR,18
490,007-AAS,18
491,007-AAT,18
492,007-AAU,6
493,007-AAW,6
494,007-AAX,6
495,007-AAY,6
496,007-ABA,6
497,007-ABB,6
498,007-ABC,6
499,007-ABD,6
500,007-ABE,6
501,007-ABF,6
502,007-ABG,6
503,007-ABH,6
504,007-ABI,6
505,007-ABL,6
506,007-ABN,6
507,007-ABP,6
508,007-ABQ,6
509,007-ABS,6
510,007-ABU,6
511,007-ABV,6
512,007-ABW,6
513,007-ABX,6
514,007-ABY,6
515,007-ABZ,6
516,007-ACD,6
517,007-ACE,6
518,007-ACF,6
519,007-ACH,6
520,007-ACJ,18
521,007-ACK,18
522,007-ACL,18
523,007-ACM,18
524,007-ACN,18
525,007-ACO,18
526,007-ACP,18
527,007-ACQ,6
528,007-ACS,6
529,007-ACT,6
530,007-ACU,6
531,007-ACV,6
532,007-ACW,6
533,007-ACX,6
534,007-ACZ,6
535,007-ADB,6
536,007-ADD,6
537,007-ADE,6
538,007-ADF,18
539,007-ADH,18
540,007-ADI,6
541,007-ADK,6
542,007-ADL,6
543,008-AAA,2
544,008-AAF,2
545,008-AAG,2
546,008-AAH,2
547,008-AAJ,2
548,008-AAK,2
549,008-AAL,2
550,008-AAM,2
551,008-AAV,2
552,008-AAW,2
553,008-AAY,2
554,008-ABI,2
555,008-ABP,2
556,008-ABS,2
557,008-ABV,2
558,008-ACD,2
559,008-ACE,2
560,008-ACF,2
561,008-ACG,2
562,008-ACH,2
563,008-ACI,2
564,008-ACJ,2
565,008-ACK,2
566,008-ACL,2
567,008-ACM,2
568,008-ACN,2
569,008-ACO,2
570,008-ACP,2
571,008-ACQ,2
572,008-ACR,2
573,008-ACS,2
574,008-ACT,2
575,008-ACU,2
576,008-ACV,2
577,008-ACW,2
578,009-AAB,8
579,009-AAC,8
580,009-AAD,8
581,009-AAE,8
582,009-AAF,8
583,009-AAG,8
584,009-AAH,8
585,009-AAI,8
586,009-AAK,8
587,009-AAL,8
588,009-AAM,8
589,009-AAN,8
590,009-AAO,8
591,009-AAP,8
592,009-AAQ,8
593,009-AAR,8
594,009-AAS,8
595,009-AAT,8
596,009-AAU,8
597,009-AAV,8
598,009-AAW,8
599,009-AAX,8
600,009-AAY,8
601,009-AAZ,8
602,009-ABA,8
603,009-ABC,8
604,009-ABD,8
605,009-ABH,8
606,009-ABI,8
607,009-ABJ,8
608,009-ABK,8
609,009-ABL,8
610,009-ABM,8
611,009-ABN,8
612,009-ABO,8
613,009-ABQ,8
614,009-ABR,8
615,009-ABS,8
616,009-ABT,8
617,009-ABU,8
618,009-ABV,8
619,009-ABW,8
620,009-ABX,8
621,009-ABY,8
622,009-ABZ,8
623,009-ACA,8
624,009-ACB,8
625,009-ACC,8
626,009-ACD,8
627,009-ACE,8
628,009-ACF,1
629,009-ACF,8
630,009-ACG,8
631,009-ACH,8
632,009-ACI,8
633,009-ACJ,8
634,009-ACK,8
635,009-ACL,8
636,009-ACM,8
637,009-ACN,8
638,009-ACO,8
639,009-ACQ,8
640,009-ACR,8
641,009-ACS,8
642,009-ACT,8
643,009-ACU,8
644,009-ACV,8
645,009-ACX,8
646,009-ACY,8
647,009-ACZ,8
648,009-ADA,8
649,009-ADB,8
650,009-ADC,8
651,009-ADD,8
652,009-ADE,8
653,009-ADF,8
654,009-ADG,8
655,009-ADH,8
656,009-ADI,8
657,009-ADJ,8
658,009-ADK,8
659,009-ADL,8
660,009-ADM,8
661,009-ADN,8
662,009-ADO,8
663,009-ADP,8
664,009-ADR,8
665,009-ADS,8
666,009-ADT,8
667,009-ADU,8
668,009-ADV,8
669,009-ADW,8
670,009-ADX,8
671,009-ADY,8
672,009-ADZ,8
673,009-AEA,8
674,009-AEB,8
675,009-AEC,8
676,009-AED,8
677,009-AEE,8
678,009-AEF,8
679,009-AEG,8
680,009-AEH,8
681,009-AEI,8
682,009-AEK,8
683,009-AEL,8
684,009-AEM,8
685,009-AEN,8
686,009-AEO,8
687,009-AEP,8
688,009-AEQ,8
689,009-AER,8
690,009-AET,8
691,009-AEU,8
692,009-AEV,8
693,009-AEW,8
