,Unnamed: 0,cycle,election,Cand.ID,FEC.ID,NID,ICPSR,ICPSR2,bonica.rid,bonica.cid,Name,Party,State,seat,District,Incum.Chall,cfscore,cfscores.dyn,dwnom1,dwnom2,ps.dwnom1,ps.dwnom2,num.givers,num.givers.total,cand.gender,total.disbursements,total.pc.contribs,contribs.from.candidate,unitemized,non.party.ind.exp.for,non.party.ind.exp.against,ind.exp.for,ind.exp.against,comm.cost.for,comm.cost.against,party.coord.exp,party.ind.exp.against,total.receipts,total.indiv.contrib,total.pac.contribs,ran.primary,ran.general,p.elec.stat,s.elec.stat,r.elec.stat,gen.elec.stat,gen.elect.pct,winner,district.partisanship,mu.est80s,mu.est90s,mu.est00s,district.pres.vs,dist.pvs1984,dist.pvs1988,dist.pvs1992,dist.pvs1996,dist.pvs2000,dist.pvs2004,dist.pvs2008,dist.pvs2012,avg.donor.cfscore.in.cd,prop.in.dist.w.org,prop.in.state.w.org,candStatus,fecyear,cand.or.committee,Industry,Sector.Long,Catcode,Catname,nimsp.party,nimsp.candidate.ICO.code,nimsp.district,nimsp.office,nimsp.candidate.status,before.switch.ICPSR,after.switch.ICPSR,Party.orig
21677,446.132,2006,fd2006,H4TX06117,C00195065,N00005656,150852006,15085,cand670,3841645424,"BARTON, JOE LINUS",200,TX,federal:house,TX06,I,1.027429813,0.884489489,0.540000021,0.017999999,0.685,0.131,769,3862,M,2351932,28,0,64730,0,0,0,0,1614,0,0,0,3164154,1089426,1801265,0,1,W, , ,W,60,W,1.055114627,0.739714026,1.64390564,1.055114627,0.333333284,0.302296907,0.375606805,0.348146528,0.35326919,0.290390879,0.333333284,0.400000006,0.424,0.690056366,0.039046158,0.656759876,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
20565,447.62,2006,fd2006,H6TX07094,C00416370,N00027788,H6TX070942006,H6TX07094,cand52756,2613840129,"HENLEY, JAMES BERK",100,TX,federal:house,TX07,C,-1.210398528,-1.148433669,,,,,83,83,M,122145,4000,1500,51777,0,0,0,0,0,0,0,0,121341,117750,400,0,1,W, , ,L,38,L,0.941917896,1.84340477,2.209201097,0.941917896,0.353535295,0.169985294,0.225940093,0.276259989,0.298036814,0.271887302,0.353535295,0.414141417,0.404,0.330802049,0.722671664,0.934981696,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21889,447.66,2006,fd2006,H0TX07055,C00343236,N00009738,201392006,20139,cand859,4104319951,"CULBERSON, JOHN A",200,TX,federal:house,TX07,I,1.061728159,1.048890791,0.532000005,0.328000009,0.607,0.338,284,1699,M,734383,294,0,16022,0,0,0,0,71,0,0,0,718882,439227,257500,0,1,W, , ,W,59,W,0.941917896,1.84340477,2.209201097,0.941917896,0.353535295,0.169985294,0.225940093,0.276259989,0.298036814,0.271887302,0.353535295,0.414141417,0.404,0.330802049,0.407965137,0.933314612,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
21539,448.84,2006,fd2006,H6TX08100,C00311043,N00005883,297602006,29760,cand1485,3193119465,"BRADY, KEVIN",200,TX,federal:house,TX08,I,0.879619139,0.694981576,0.537999988,0.064000003,0.655,0.31,167,1170,M,527711,330,0,13242,0,0,0,0,1558,0,0,0,515795,117205,420000,0,1,W, , ,W,67,W,1.807612777,0.176848039,1.968782306,1.807612777,0.272727311,0.396350086,0.453342587,0.291343898,0.284759283,0.224319071,0.272727311,0.25999999,0.263,0.696118975,0.081270236,0.708485497,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
20561,450.93,2006,fd2006,H6TX10106,C00473314,N00027789,H6TX101062006,H6TX10106,cand52781,4036282492,"ANKRUM, TED",100,TX,federal:house,TX10,C,-1.326762057,-1.177939672,,,,,61,119,M,64633,0,0,18389,0,0,0,0,0,0,0,0,72061,60858,2900,0,1,W, , ,L,40,L,0.742635071,-0.33362335,-0.039905485,0.742635071,0.379999995,0.419504523,0.539846182,0.603698671,0.576419771,0.480912805,0.379999995,0.444444448,0.434,0.306367704,0.61518041,0.896994259,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21674,450.1,2006,fd2006,H4TX10093,C00392688,N00026460,205302006,20530,cand953,4123332887,"MCCAUL, MICHAEL",200,TX,federal:house,TX10,I,1.078150772,1.038393188,0.444999993,-0.165000007,0.505,0.314,554,1707,M,1111980,784,0,-60995,0,0,0,0,145,0,0,0,1155543,739959,385190,0,1,W, , ,W,55,W,0.742635071,-0.33362335,-0.039905485,0.742635071,0.379999995,0.419504523,0.539846182,0.603698671,0.576419771,0.480912805,0.379999995,0.444444448,0.434,0.306367704,0.140436337,0.946998334,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
21671,451.76,2006,fd2006,H4TX19136,C00383828,N00026041,205312006,20531,cand954,3194120746,"CONAWAY, K MICHAEL",200,TX,federal:house,TX11,I,1.213315319,1.17563328,0.612999976,0.123999998,0.597,0.407,540,1511,U,737564,2292,0,74353,0,0,0,0,358,0,0,0,1005167,580384,410422,0,1,W, , ,W,99,W,2.245658398,0.404971421,0.645748496,2.245658398,0.219999999,0.337226421,0.417394489,0.467891008,0.455818892,0.336477786,0.219999999,0.239999995,0.232,0.936613076,0.400987961,0.894211075,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
20559,452.95,2006,fd2006,H6TX12094,C00428656,N00028015,H6TX120942006,H6TX12094,cand52796,,"MORRIS, JOHN R",100,TX,federal:house,TX12,C,-0.923792258,-0.869781936,,,,,12,12,M,13708,2000,400,3976,0,0,0,0,0,0,0,0,13709,6760,6000,0,1,W, , ,L,31,L,1.28044498,0.033148643,0.398877293,1.28044498,0.330000013,0.414640397,0.470034719,0.515577793,0.505111694,0.405530781,0.330000013,0.363636374,0.354,0.696428918,0.224033293,1,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21537,452.97,2006,fd2006,H6TX12060,C00310532,N00008799,297622006,29762,cand1487,54179415544,"GRANGER, KAY",200,TX,federal:house,TX12,I,0.949480158,0.964022869,0.402999997,-0.022,0.575,-0.021,574,2369,F,1350752,294,0,72713,0,0,0,0,120,0,0,0,1274755,813567,417661,0,1,W, , ,W,66,W,1.28044498,0.033148643,0.398877293,1.28044498,0.330000013,0.414640397,0.470034719,0.515577793,0.505111694,0.405530781,0.330000013,0.363636374,0.354,0.696428918,0.301594687,0.885283332,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
20558,453.98,2006,fd2006,H6TX13100,C00421107,N00027930,H6TX131002006,H6TX13100,cand52808,3803316283,"WAUN, ROGER J.",100,TX,federal:house,TX13,C,-1.045409714,-0.934287034,,,,,23,29,M,27384,2000,0,6141,0,0,0,0,0,0,0,0,27417,11271,8850,0,1,W, , ,L,23,L,2.250434875,0.737422407,0.707971215,2.250434875,0.222222194,0.280315697,0.362069994,0.45638907,0.426992595,0.311318815,0.222222194,0.230000004,0.222,0.961831322,0.322033898,1,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21673,453.1,2006,fd2006,H4TX13014,C00286187,N00006052,295722006,29572,cand1409,,"THORNBERRY, WILLIAM MCCLELLAN ""MAC""",200,TX,federal:house,TX13,I,1.283999495,1.303798108,0.568000019,0.048,0.699,0.247,432,1619,M,551841,0,0,41725,0,0,0,0,357,0,0,0,631023,471229,138850,0,1,W, , ,W,74,W,2.250434875,0.737422407,0.707971215,2.250434875,0.222222194,0.280315697,0.362069994,0.45638907,0.426992595,0.311318815,0.222222194,0.230000004,0.222,0.961831322,0.602155338,0.992204843,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
20557,454.106,2006,fd2006,H6TX14090,C00413104,N00027668,H6TX140902006,H6TX14090,cand52817,,"SKLAR, SHANE",100,TX,federal:house,TX14,C,-0.457456249,-0.416363537,,,,,364,365,M,552798,4892,0,96138,0,0,0,0,5777,0,0,0,556108,370964,158550,0,1,W, , ,L,39,L,1.369766831,0.267944574,0.636164367,1.369766831,0.330000013,0.324644804,0.425015718,0.477563411,0.456888199,0.35219419,0.330000013,0.333333343,0.424,0.501242129,0.239159588,0.951846039,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21534,454.107,2006,fd2006,H6TX22101,C00305342,,142902006,14290,cand303,,"PAUL, RON",200,TX,federal:house,TX14,I,1.569626527,1.559654349,0.970000029,-0.241999999,0.993,-0.122,1072,19708,M,1469488,0,0,896504,335,0,0,0,185,0,0,0,1508073,1459500,33085,0,1,W, , ,W,60,W,1.369766831,0.267944574,0.636164367,1.369766831,0.330000013,0.324644804,0.425015718,0.477563411,0.456888199,0.35219419,0.330000013,0.333333343,0.424,0.501242129,0.103441351,0.294577577,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
21094,455.61,2006,fd2006,H4TX15076,C00480566,N00026696,H4TX150762006,H4TX15076,cand48731,,"HARING, PAUL BYRNE",200,TX,federal:house,TX15,C,1.076665148,1.371783323,,,,,1,4,M,0,0,0,0,335,0,0,0,0,0,0,0,0,0,0,0,1,W, , ,L,24,L,0.056728121,-0.957605481,-0.459971219,0.056728121,0.449999988,0.536432326,0.62938571,0.605947137,0.636313498,0.547709525,0.449999988,0.600000024,0.576,0.20771007,,,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
21536,455.62,2006,fd2006,H6TX15055,C00310896,N00006008,297632006,29763,cand1488,4039284736,"HINOJOSA, RUBEN E",100,TX,federal:house,TX15,I,-0.237012158,-0.149111197,-0.340000004,0.155000001,-0.256,0.539,205,1232,M,497420,2005,0,17170,0,0,0,0,0,0,0,0,681521,303774,371461,0,1,W, , ,W,61,W,0.056728121,-0.957605481,-0.459971219,0.056728121,0.449999988,0.536432326,0.62938571,0.605947137,0.636313498,0.547709525,0.449999988,0.600000024,0.576,0.20771007,0.216596619,0.90802778,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21540,456.113,2006,fd2006,H6TX00115,C00309237,N00006067,297642006,29764,cand1489,2414715129,"REYES, SILVESTRE",100,TX,federal:house,TX16,I,-0.006380456,0.082245566,-0.331999987,0.237000003,-0.264,0.515,317,1669,M,681551,0,0,17486,0,0,0,0,0,0,0,0,701687,336286,331471,0,1,W, , ,W,78,W,-0.477989316,-0.297731429,-0.630983829,-0.477989316,0.564356387,0.430351287,0.524462402,0.591218293,0.662574708,0.595381379,0.564356387,0.660000026,0.646,0.469858887,0.264836643,0.819474836,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
20553,457.62,2006,fd2006,H6TX17069,C00414300,N00027709,H6TX170692006,H6TX17069,cand52841,4197401178,"TAYLOR, NICHOLAS VANCAMPEN",200,TX,federal:house,TX17,C,1.089286503,1.087425365,,,,,762,762,M,2515527,10000,325000,121983,32079,0,0,20357,0,0,77000,98535,2589364,1308245,201072,0,1,W, , ,L,40,L,1.524675488,0.296504885,0.64844048,1.524675488,0.303030312,0.316823184,0.419283003,0.459024996,0.435016781,0.285309672,0.303030312,0.323232323,0.414,0.517729423,0.168269738,0.743632304,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
21460,457.68,2006,fd2006,H8TX06035,C00240465,N00005794,291442006,29144,cand1232,3768408276,"EDWARDS, THOMAS CHESTER",100,TX,federal:house,TX17,I,-0.343422862,-0.403197114,-0.237000003,0.414000005,-0.181,0.711,1320,4816,M,3138215,2608,0,172717,4949,0,0,0,4365,0,27506,6246,3194165,1572887,1303907,0,1,W, , ,W,58,W,1.524675488,0.296504885,0.64844048,1.524675488,0.303030312,0.316823184,0.419283003,0.459024996,0.435016781,0.285309672,0.303030312,0.323232323,0.414,0.517729423,0.15877994,0.802778394,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21092,458.132,2006,fd2006,H4TX18054,C00287904,N00005818,H4TX180542006,29573,cand1410,54894258900,"LEE, SHEILA JACKSON",100,TX,federal:house,TX18,I,-0.285584735,-0.478944199,-0.479000002,0.033,,,184,1795,F,502818,0,0,16888,0,0,0,0,541,0,0,0,395014,255264,141024,0,1,W, , ,W,76,W,-1.583966255,-2.614972353,-1.964312315,-1.583966255,0.720000029,0.72427696,0.7519719,0.746686101,0.756878614,0.729727149,0.720000029,0.777777791,0.77,0.337084645,0.068849794,0.888257058,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
20552,459.101,2006,fd2006,H6TX19073,C00416768,N00027941,H6TX190732006,H6TX19073,cand52857,,"RICKETTS, ROBERT CARLTON",100,TX,federal:house,TX19,C,-1.312312937,-1.247519522,,,,,69,69,M,88830,2000,7041,35787,0,0,0,0,0,0,0,0,88833,74770,5900,0,1,W, , ,L,29,L,1.980023861,0.907945752,1.814917922,1.980023861,0.222222194,0.2503708,0.331216395,0.280043393,0.280461103,0.196871325,0.222222194,0.272727281,0.283,0.798474298,0.723060111,0.968986203,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21672,459.113,2006,fd2006,H4TX19102,C00384016,N00026043,203532006,20353,cand919,,"NEUGEBAUER, ROBERT RANDOLPH (RANDY)",200,TX,federal:house,TX19,I,1.196772866,1.195586593,0.639999986,0.097000003,0.744,0.428,434,2136,M,1203930,174,0,20404,0,0,0,0,0,0,0,0,1402333,566242,533490,0,1,W, , ,W,67,W,1.980023861,0.907945752,1.814917922,1.980023861,0.222222194,0.2503708,0.331216395,0.280043393,0.280461103,0.196871325,0.222222194,0.272727281,0.283,0.798474298,0.391990632,0.936419655,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
21458,460.72,2006,fd2006,H8TX20077,C00330084,N00005960,299432006,29943,cand1547,,"GONZALEZ, CHARLES A",100,TX,federal:house,TX20,I,-0.12537578,-0.084767886,-0.354000002,0.119000003,-0.279,0.229,201,1143,M,694162,59,0,32031,0,0,0,0,4315,0,9,0,761665,263486,486925,0,1,W, , ,W,87,W,-0.405984163,-1.278762817,-0.469985157,-0.405984163,0.550000012,0.586158574,0.675657511,0.583980381,0.63094759,0.562203288,0.550000012,0.636363626,0.586,0.458495612,0.06205957,0.835367531,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21233,461.121,2006,fd2006,H2TX21052,C00413286,N00024857,H2TX210522006,H2TX21052,cand45034,,"COURAGE, JOHN KENNETH",100,TX,federal:house,TX21,C,-1.144448895,-1.158722075,,,,,228,496,M,352243,2000,0,175912,0,0,0,0,470,0,13000,0,368118,270020,67935,0,1,W, , ,L,24,L,0.834477484,1.250954628,1.655517459,0.834477484,0.396039575,0.221010491,0.29105109,0.328793913,0.320066094,0.248708174,0.396039575,0.414141417,0.429,0.399795817,0.248188353,0.818532642,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21535,461.122,2006,fd2006,H6TX21012,C00197160,N00001811,154452006,15445,cand757,,"SMITH, LAMAR S",200,TX,federal:house,TX21,I,1.060858053,0.995715093,0.414000005,-0.029999999,0.527,0.262,619,2459,M,1632039,0,0,113897,0,0,0,0,171,0,0,0,1332470,836373,421690,0,1,W, , ,W,60,W,0.834477484,1.250954628,1.655517459,0.834477484,0.396039575,0.221010491,0.29105109,0.328793913,0.320066094,0.248708174,0.396039575,0.414141417,0.429,0.399795817,0.280041,0.908964612,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
20545,462.102,2006,fd2006,H6TX22184,C00423384,N00028489,H6TX221842006,H6TX22184,cand52889,53654208423,"SEKULA GIBBS, SHELLEY MD",200,TX,federal:house,TX22,C,1.173768498,1.143666079,,,,,592,1067,F,912977,0,1000,51714,12565,0,0,0,15750,0,0,125065,993529,448314,253393,0,1,W, , ,L,41,L,0.942831635,0.757806182,1.348705649,0.942831635,0.353535295,0.298432589,0.370917827,0.351384073,0.40036881,0.364356488,0.353535295,0.414141417,0.394,0.44545519,0.054403341,0.970734944,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
21538,462.115,2006,fd2006,H6TX09033,C00328997,N00005928,297612006,29761,cand1486,3951991068,"LAMPSON, NICK",100,TX,federal:house,TX22,C,-0.749995304,-0.930557454,-0.199000001,0.175999999,,,2221,4717,M,3578097,5403,0,632530,9268,0,0,0,17223,0,63500,757429,3730044,2609396,585476,0,1,W, , ,W,51,W,0.942831635,0.757806182,1.348705649,0.942831635,0.353535295,0.298432589,0.370917827,0.351384073,0.40036881,0.364356488,0.353535295,0.414141417,0.394,0.44545519,0.036637681,0.506406501,C,2008,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21457,463.105,2006,fd2006,H8TX28013,C00326066,N00009828,297712006,29771,cand1496,3899449083,"RODRIGUEZ, CIRO D",100,TX,federal:house,TX23,I,-0.485576333,-0.770028319,-0.368000001,0.143000007,,,520,2215,M,963647,15277,2175,419871,40098,0,0,0,2464,0,78470,0,1046200,661386,663230,0,1,W, ,W,W,19,W,0.377407908,-0.125994965,0.340518832,0.377407908,0.353535295,0.408099592,0.495337903,0.506554604,0.533938706,0.422183722,0.353535295,0.515151501,0.505,0.631703177,0.039654145,0.792651109,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21766,463.106,2006,fd2006,H2TX23058,C00257402,N00005985,393022006,39302,cand1553,,"BONILLA, HENRY",200,TX,federal:house,TX23,I,0.949550577,0.897020248,0.418000013,-0.011,0.588,0.161,1206,3089,M,3821285,6400,2000,84388,83958,7599,0,5126,7415,0,78243,607616,3600091,1865721,2131886,0,1,W, ,L,L,48,L,0.377407908,-0.125994965,0.340518832,0.377407908,0.353535295,0.408099592,0.495337903,0.506554604,0.533938706,0.422183722,0.353535295,0.515151501,0.505,0.631703177,0.051350062,0.656389652,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
21232,464.102,2006,fd2006,H2TX26127,C00401869,N00025187,H2TX261272006,H2TX26127,cand45105,,"PAGE, GARY R.",100,TX,federal:house,TX24,C,-0.936506577,-1.02158281,,,,,11,14,M,10135,2000,636,4560,0,0,0,0,0,0,0,0,11166,8530,400,0,1,W, , ,L,37,L,0.723690748,-0.414502949,-0.132574677,0.723690748,0.349999994,0.468300402,0.526330888,0.548854113,0.576926112,0.516998649,0.349999994,0.444444448,0.414,0.546891366,0.294448653,1,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1200,Democratic Candidate Committees,,,,,,,,100
21669,464.104,2006,fd2006,H4TX24094,C00393348,N00026710,205322006,20532,cand955,29356240191,"MARCHANT, KENNY EWELL",200,TX,federal:house,TX24,I,0.9258355,0.924417219,0.602999985,0.07,0.621,0.416,288,1020,M,554709,0,0,19625,1000,0,0,0,63,0,0,0,748190,304998,425337,0,1,W, , ,W,59,W,0.723690748,-0.414502949,-0.132574677,0.723690748,0.349999994,0.468300402,0.526330888,0.548854113,0.576926112,0.516998649,0.349999994,0.444444448,0.414,0.546891366,0.087652916,0.863402338,C,2006,cand,Candidate Committees,Ideological/Single-Issue,Z1100,Republican Candidate Committees,,,,,,,,200
